Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
Stephen Walker,Honolulu,20,"Orlando, Miami, Phoenix, Chicago",4,T6387,Honolulu,Orlando,2024-05-19
,,,,,B8212,Honolulu,Miami,2023-05-02
,,,,,I7809,Honolulu,Phoenix,2024-02-20
,,,,,U3713,Honolulu,Chicago,2022-09-04
Colton Fisher,Richmond,64,"San Diego, Houston",2,K7844,Richmond,San Diego,2022-11-24
,,,,,Y7549,Richmond,Houston,2022-12-01
Aimee Alexander,St. Petersburg,60,"Bratislava, Geneva",2,M5530,St. Petersburg,Bratislava,2024-01-28
,,,,,H9252,St. Petersburg,Geneva,2023-05-10
Jacob Peterson,Munich,57,Rome,1,Q7369,Munich,Rome,2022-10-26
Rachel Mosley,San Jose,60,"Savannah, Santa Fe, Sedona",3,M2750,San Jose,Savannah,2023-05-17
,,,,,N5855,San Jose,Santa Fe,2023-07-11
,,,,,T6282,San Jose,Sedona,2022-09-10
Angela Cooper,Barcelona,27,"Zurich, Seville, Moscow, Valencia, Edinburgh",5,I3395,Barcelona,Zurich,2022-08-28
,,,,,M2590,Barcelona,Seville,2024-03-19
,,,,,T2174,Barcelona,Moscow,2023-12-23
,,,,,A3991,Barcelona,Valencia,2024-02-28
,,,,,V3735,Barcelona,Edinburgh,2024-05-06
Traci Potter,New York,43,"Savannah, San Jose, New Orleans, Tampa",4,X4351,New York,Savannah,2023-07-10
,,,,,O7887,New York,San Jose,2023-01-13
,,,,,C3426,New York,New Orleans,2023-12-09
,,,,,W4955,New York,Tampa,2023-08-10
Erica Vargas,Marseille,62,"Florence, Milan, Edinburgh, Amsterdam",4,W4747,Marseille,Florence,2023-07-14
,,,,,G3313,Marseille,Milan,2024-06-13
,,,,,O8623,Marseille,Edinburgh,2024-04-19
,,,,,G1283,Marseille,Amsterdam,2022-11-09
Brian Stone,Salt Lake City,49,"Dallas, Las Vegas, Baltimore, San Diego, Scottsdale",5,T9776,Salt Lake City,Dallas,2022-12-11
,,,,,M1127,Salt Lake City,Las Vegas,2023-10-15
,,,,,Y7546,Salt Lake City,Baltimore,2023-03-14
,,,,,V4427,Salt Lake City,San Diego,2023-12-02
,,,,,W4892,Salt Lake City,Scottsdale,2024-06-03
Henry Roberts,Munich,43,"St. Louis, Prague, Edinburgh",3,O1359,Munich,St. Louis,2023-11-18
,,,,,D3150,Munich,Prague,2024-08-09
,,,,,J5308,Munich,Edinburgh,2023-01-29
Anthony Smith,Helsinki,38,Prague,1,F9467,Helsinki,Prague,2024-03-21
Matthew Warren,Oklahoma City,60,"Savannah, Atlanta, Cincinnati, Fort Lauderdale, Los Angeles",5,W6737,Oklahoma City,Savannah,2023-01-21
,,,,,J2285,Oklahoma City,Atlanta,2024-06-13
,,,,,T8650,Oklahoma City,Cincinnati,2023-12-23
,,,,,L7223,Oklahoma City,Fort Lauderdale,2023-06-16
,,,,,X5209,Oklahoma City,Los Angeles,2024-07-11
Steven Powers,Providence,42,Los Angeles,1,U3396,Providence,Los Angeles,2024-05-19
Leslie Delgado,Washington,53,"Richmond, Houston, Atlanta, Warsaw",4,T9194,Washington,Richmond,2022-09-08
,,,,,D6618,Washington,Houston,2023-05-07
,,,,,I3905,Washington,Atlanta,2022-10-26
,,,,,N6031,Washington,Warsaw,2024-03-05
Angela Diaz,Savannah,75,"Boston, Nice, Sacramento, St. Louis",4,F8357,Savannah,Boston,2024-07-19
,,,,,N9843,Savannah,Nice,2022-12-20
